Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Tail_FlightNum
2008,4,11,5,1710,1717,1740,1739,EV,90,82,51,1,-7,ATL,EVV,350,4,35,0,,0,-99,-99,-99,-99,-99,N935EV - 4366
2008,5,1,4,1440,1444,1625,1622,OH,105,98,73,3,-4,ATL,ORF,516,5,27,0,,0,-99,-99,-99,-99,-99,N965CA - 5304
2008,3,13,4,1740,1735,1950,1952,DL,130,137,91,-2,5,ATL,PHL,665,9,30,0,,0,-99,-99,-99,-99,-99,N975DL - 1254
2008,4,7,1,1327,1330,1509,1524,UA,42,54,27,-15,-3,ORD,GRR,137,3,12,0,,0,-99,-99,-99,-99,-99,N907UA - 394
2008,4,25,5,1609,1610,1618,1609,EV,69,59,32,9,-1,ATL,MGM,147,2,35,0,,0,-99,-99,-99,-99,-99,N873AS - 4281
2008,5,16,5,1800,1750,2130,2132,XE,150,162,130,-2,10,DFW,CLE,1021,7,13,0,,0,-99,-99,-99,-99,-99,N18102 - 2084
2008,3,30,7,2008,1955,2044,2030,AA,156,155,135,14,13,DFW,PHX,868,6,15,0,,0,-99,-99,-99,-99,-99,N469AA - 1801
2008,2,28,4,1129,1130,1337,1305,9E,188,155,145,32,-1,MSP,GTF,887,4,39,0,,0,0,0,32,0,0,89039E - 2888
2008,4,17,4,1854,1857,2101,2115,UA,67,78,45,-14,-3,ORD,DTW,235,7,15,0,,0,-99,-99,-99,-99,-99,N581UA - 248
2008,7,17,4,1937,1945,2046,2045,MQ,69,60,36,1,-8,ORD,CWA,213,5,28,0,,0,-99,-99,-99,-99,-99,N804AE - 4520
2008,1,28,1,645,640,750,750,AA,65,70,52,0,5,ORD,STL,258,4,9,0,,0,-99,-99,-99,-99,-99,N483AA - 407
2008,10,28,2,1201,1155,1256,1255,AA,55,60,39,1,6,DFW,SAT,247,4,12,0,,0,-99,-99,-99,-99,-99,N528AA - 1183
2008,1,17,4,1023,1020,1235,1230,EV,132,130,89,5,3,ATL,SYR,793,2,41,0,,0,-99,-99,-99,-99,-99,N723EV - 4417
2008,4,24,4,1113,1040,1229,1150,MQ,76,70,48,39,33,ORD,RST,268,2,26,0,,0,33,0,6,0,0,N613AE - 3985
2008,5,23,5,724,715,956,923,B6,272,248,249,33,9,ORD,LGB,1735,3,20,0,,0,9,0,24,0,0,N247JB - 931
2008,1,4,5,907,905,948,955,AA,101,110,87,-7,2,DFW,ABQ,569,4,10,0,,0,-99,-99,-99,-99,-99,N551AA - 1873
2008,1,30,3,1430,1340,1533,1443,EV,63,63,39,50,50,ATL,FLO,273,5,19,0,,0,50,0,0,0,0,N919EV - 4521
2008,5,1,4,2045,2045,2136,2145,MQ,51,60,36,-9,0,DFW,FSM,228,3,12,0,,0,-99,-99,-99,-99,-99,N942AE - 3653
2008,1,17,4,1544,1444,1806,1704,EV,142,140,106,62,60,ATL,ALB,852,3,33,0,,0,60,0,2,0,0,N706EV - 4529
2008,8,27,3,621,626,819,816,OO,58,50,24,3,-5,ORD,AZO,122,5,29,0,,0,-99,-99,-99,-99,-99,N906SW - 6085
2008,8,21,4,818,821,821,841,EV,63,80,44,-20,-3,ATL,PFN,247,3,16,0,,0,-99,-99,-99,-99,-99,N922EV - 4344
2008,10,12,7,1103,1055,1525,1525,NW,202,210,180,0,8,MSP,FLL,1487,2,20,0,,0,-99,-99,-99,-99,-99,N369NB - 1030
2008,7,7,1,643,650,926,932,NW,103,102,76,-6,-7,MSP,DTW,528,13,14,0,,0,-99,-99,-99,-99,-99,N518US - 154
2008,12,29,1,1450,1325,1535,1417,OH,45,52,32,78,85,ATL,TYS,152,5,8,0,,0,78,0,0,0,0,N378CA - 6437
2008,3,3,1,1033,1015,1139,1125,MQ,66,70,49,14,18,ORD,RST,268,3,14,0,,0,-99,-99,-99,-99,-99,N654AE - 3985
2008,3,8,6,1536,1456,1730,1646,FL,114,110,100,44,40,ATL,FLL,581,5,9,0,,0,0,0,4,0,40,N308AT - 70
2008,11,18,2,1102,1105,1242,1255,MQ,40,50,27,-13,-3,ORD,FWA,157,3,10,0,,0,-99,-99,-99,-99,-99,N657MQ - 4011
2008,12,16,2,1427,1325,1505,1343,EV,98,78,62,82,62,ATL,GPT,352,4,32,0,,0,0,0,82,0,0,N838AS - 5508
2008,8,29,5,755,801,839,857,OO,44,56,31,-18,-6,ORD,SPI,174,4,9,0,,0,-99,-99,-99,-99,-99,N965SW - 5966
2008,11,9,7,2007,2009,2057,2053,EV,110,104,87,4,-2,ATL,SHV,552,6,17,0,,0,-99,-99,-99,-99,-99,N680BR - 5345
2008,3,26,3,1503,1505,1709,1729,AA,126,144,110,-20,-2,DFW,ORD,802,8,8,0,,0,-99,-99,-99,-99,-99,N449AA - 2356
2008,11,9,7,1918,1920,2055,2055,AA,97,95,77,0,-2,DFW,HSV,603,5,15,0,,0,-99,-99,-99,-99,-99,N258AA - 1930
2008,3,27,4,1250,1215,1408,1320,AA,138,125,111,48,35,DFW,GUC,678,4,23,0,,0,30,0,13,0,5,N5FEAA - 2241
2008,6,3,2,NA,1640,NA,1835,MQ,NA,115,NA,NA,NA,ORD,ICT,588,NA,NA,1,C,0,-99,-99,-99,-99,-99, - 4428
2008,2,21,4,900,905,1105,1106,DL,125,121,97,-1,-5,ATL,DTW,594,8,20,0,,0,-99,-99,-99,-99,-99,N988DL - 1220
2008,4,11,5,1026,1030,NA,2400,9E,NA,NA,NA,NA,-4,MSP,GRB,252,NA,14,0,,1,-99,-99,-99,-99,-99,85419E - 5673
2008,10,17,5,1021,1025,1104,1110,AA,103,105,82,-6,-4,DFW,ABQ,569,9,12,0,,0,-99,-99,-99,-99,-99,N208AA - 1173
2008,8,22,5,1928,1935,2026,2025,EV,118,110,82,1,-7,ATL,SGF,563,21,15,0,,0,-99,-99,-99,-99,-99,N903EV - 4388
2008,5,19,1,1522,1518,1625,1624,FL,63,66,41,1,4,ATL,CLT,227,5,17,0,,0,-99,-99,-99,-99,-99,N930AT - 310
2008,5,7,3,1424,1425,1521,1530,9E,57,65,41,-9,-1,MSP,FAR,223,4,12,0,,0,-99,-99,-99,-99,-99,89289E - 2861
2008,9,28,7,2030,2035,2301,2305,9E,91,90,64,-4,-5,MSP,FWA,488,5,22,0,,0,-99,-99,-99,-99,-99,85159E - 4780
2008,4,8,2,NA,2135,NA,35,AA,NA,120,NA,NA,NA,DFW,ATL,732,NA,NA,1,A,0,-99,-99,-99,-99,-99, - 2020
2008,11,18,2,1603,1556,1810,1757,DL,127,121,99,13,7,ATL,DTW,594,12,16,0,,0,-99,-99,-99,-99,-99,N378DA - 1194
2008,6,3,2,1637,1637,1855,1852,FL,138,135,108,3,0,ATL,LGA,761,6,24,0,,0,-99,-99,-99,-99,-99,N960AT - 401
2008,11,7,5,1653,1640,1906,1910,DL,133,150,103,-4,13,ATL,LGA,761,8,22,0,,0,-99,-99,-99,-99,-99,N653DL - 920
2008,9,28,7,1019,1025,1219,1220,MQ,120,115,100,-1,-6,DFW,MLI,691,3,17,0,,0,-99,-99,-99,-99,-99,N942AE - 3871
2008,12,10,3,1846,1835,2225,2205,AA,159,150,135,20,11,DFW,RDU,1062,4,20,0,,0,11,0,9,0,0,N448AA - 1694
2008,10,29,3,1236,1240,1346,1405,AA,70,85,58,-19,-4,ORD,MCI,403,3,9,0,,0,-99,-99,-99,-99,-99,N512AA - 319
2008,11,15,6,2150,2150,2224,2240,MQ,34,50,28,-16,0,ORD,DBQ,147,2,4,0,,0,-99,-99,-99,-99,-99,N664MQ - 4053
2008,4,20,7,1443,1444,1554,1602,EV,71,78,52,-8,-1,ATL,LEX,303,4,15,0,,0,-99,-99,-99,-99,-99,N826AS - 4247
2008,10,22,3,1615,1555,1725,1710,MQ,70,75,54,15,20,DFW,SGF,364,2,14,0,,0,0,0,0,0,15,N838MQ - 3769
2008,8,18,1,1021,1026,1314,1319,CO,173,173,143,-5,-5,MSP,IAH,1034,9,21,0,,0,-99,-99,-99,-99,-99,N69311 - 1617
2008,9,25,4,1316,1315,1714,1705,AA,178,170,163,9,1,DFW,DCA,1192,5,10,0,,0,-99,-99,-99,-99,-99,N529AA - 1314
2008,5,14,3,1016,1021,1126,1130,9E,70,69,39,-4,-5,MSP,MSN,228,3,28,0,,0,-99,-99,-99,-99,-99,87459E - 4764
2008,4,5,6,1712,1700,1940,1921,UA,268,261,246,19,12,ORD,LAX,1745,9,13,0,,0,12,0,7,0,0,N565UA - 941
2008,2,26,2,726,710,1119,1040,AA,173,150,138,39,16,ORD,MCO,1005,6,29,0,,0,0,16,23,0,0,N421AA - 716
2008,2,14,4,1334,1340,1431,1443,EV,57,63,40,-12,-6,ATL,FLO,273,5,12,0,,0,-99,-99,-99,-99,-99,N980EV - 4521
2008,1,5,6,1038,1025,1330,1253,DL,352,328,328,37,13,ATL,SFO,2139,7,17,0,,0,0,0,24,0,13,N138DL - 649
2008,9,30,2,2155,2130,2303,2306,NW,188,216,173,-3,25,MSP,SEA,1399,3,12,0,,0,-99,-99,-99,-99,-99,N587NW - 165
2008,7,21,1,748,752,847,852,OO,59,60,41,-5,-4,ORD,CID,196,3,15,0,,0,-99,-99,-99,-99,-99,N944SW - 5875
2008,12,5,5,1532,1520,1637,1627,NW,65,67,44,10,12,MSP,MKE,297,7,14,0,,0,-99,-99,-99,-99,-99,N360NW - 1674
2008,9,13,6,1108,1055,1228,1216,EV,140,141,116,12,13,ATL,OMA,821,4,20,0,,0,-99,-99,-99,-99,-99,N978EV - 4189
2008,3,20,4,2102,2110,2141,2154,MQ,39,44,26,-13,-8,DFW,ACT,89,5,8,0,,0,-99,-99,-99,-99,-99,N218AE - 3305
2008,12,17,3,1300,1252,1519,1513,UA,139,141,107,6,8,DFW,ORD,802,10,22,0,,0,-99,-99,-99,-99,-99,N835UA - 564
2008,5,24,6,748,745,1008,1015,MQ,80,90,69,-7,3,ORD,BUF,473,3,8,0,,0,-99,-99,-99,-99,-99,N668HH - 4019
2008,10,27,1,1142,1145,1255,1307,DL,73,82,50,-12,-3,ATL,RDU,356,10,13,0,,0,-99,-99,-99,-99,-99,N669DN - 691
2008,6,18,3,819,823,1008,1014,OO,109,111,92,-6,-4,ORD,FAR,557,5,12,0,,0,-99,-99,-99,-99,-99,N406SW - 5921
2008,5,6,2,1449,1455,1650,1700,MQ,121,125,106,-10,-6,ORD,OKC,693,3,12,0,,0,-99,-99,-99,-99,-99,N508AE - 3975
2008,6,11,3,2302,2305,2357,5,AA,55,60,41,-8,-3,DFW,TUL,237,3,11,0,,0,-99,-99,-99,-99,-99,N422AA - 1410
2008,3,19,3,1434,1430,1607,1606,NW,213,216,197,1,4,MSP,SEA,1399,4,12,0,,0,-99,-99,-99,-99,-99,N585NW - 807
2008,10,14,2,1733,1738,1914,1909,FL,101,91,69,5,-5,ATL,RIC,481,5,27,0,,0,-99,-99,-99,-99,-99,N986AT - 241
2008,4,9,3,1410,1412,1524,1539,DL,74,87,60,-15,-2,ATL,SRQ,445,3,11,0,,0,-99,-99,-99,-99,-99,N919DL - 1877
2008,5,29,4,2155,2140,2301,2245,MQ,66,65,44,16,15,DFW,LIT,304,4,18,0,,0,11,0,1,0,4,N508AE - 3535
2008,1,29,2,2124,2125,2247,2240,9E,143,135,110,7,-1,MSP,CPR,674,4,29,0,,0,-99,-99,-99,-99,-99,87339E - 4772
2008,5,13,2,845,855,1151,1200,MQ,126,125,106,-9,-10,ORD,HPN,738,5,15,0,,0,-99,-99,-99,-99,-99,N854AE - 4412
2008,2,20,3,1031,943,1254,1215,EV,143,152,116,39,48,ATL,PWM,1027,3,24,0,,0,39,0,0,0,0,N390CA - 4514
2008,8,27,3,913,915,928,936,FL,75,81,53,-8,-2,ATL,GPT,352,6,16,0,,0,-99,-99,-99,-99,-99,N919AT - 1590
2008,9,30,2,850,850,1140,1200,AA,110,130,95,-20,0,ORD,EWR,719,4,11,0,,0,-99,-99,-99,-99,-99,N490AA - 1704
2008,2,25,1,837,825,950,950,EV,73,85,53,0,12,ATL,LEX,303,5,15,0,,0,-99,-99,-99,-99,-99,N886AS - 4541
2008,5,4,7,1641,1645,1936,1948,UA,115,123,93,-12,-4,ORD,ALB,723,3,19,0,,0,-99,-99,-99,-99,-99,N328UA - 212
2008,9,3,3,2115,2115,2229,2242,DL,74,87,54,-13,0,ATL,MCO,403,7,13,0,,0,-99,-99,-99,-99,-99,N686DA - 981
2008,2,11,1,1021,1005,1147,1142,EV,86,97,65,5,16,ATL,ORF,516,2,19,0,,0,-99,-99,-99,-99,-99,N719EV - 4856
2008,8,24,7,1840,1810,2209,2203,CO,149,173,99,6,30,ORD,EWR,719,19,31,0,,0,-99,-99,-99,-99,-99,N12319 - 1174
2008,6,7,6,1930,1855,2128,2020,AA,118,85,91,68,35,ORD,MSP,334,7,20,0,,0,0,0,42,0,26,N520AA - 341
2008,11,2,7,1516,1325,1625,1450,AA,129,145,111,95,111,DFW,TUS,813,3,15,0,,0,95,0,0,0,0,N245AA - 2017
2008,2,21,4,628,630,727,741,F9,119,131,97,-14,-2,MSP,DEN,680,8,14,0,,0,-99,-99,-99,-99,-99,N902FR - 791
2008,7,22,2,802,800,1027,1020,AA,145,140,124,7,2,DFW,MSP,852,8,13,0,,0,-99,-99,-99,-99,-99,N595AA - 1038
2008,11,16,7,1450,1450,1604,1558,DL,134,128,98,6,0,ATL,ORD,606,9,27,0,,0,-99,-99,-99,-99,-99,N3749D - 786
2008,3,12,3,1810,1815,2108,2111,UA,118,116,86,-3,-5,ORD,ATL,606,4,28,0,,0,-99,-99,-99,-99,-99,N436UA - 566
2008,5,10,6,955,958,1225,1231,UA,270,273,248,-6,-3,ORD,SFO,1846,5,17,0,,0,-99,-99,-99,-99,-99,N673UA - 139
2008,11,1,6,2018,2010,2240,2237,UA,262,267,242,3,8,ORD,PDX,1739,6,14,0,,0,-99,-99,-99,-99,-99,N417UA - 321
2008,10,10,5,1442,1451,1535,1543,OO,53,52,32,-8,-9,ORD,ATW,160,4,17,0,,0,-99,-99,-99,-99,-99,N956SW - 5937
2008,12,31,3,1330,1330,1437,1440,MQ,67,70,47,-3,0,DFW,HOU,247,2,18,0,,0,-99,-99,-99,-99,-99,N635MQ - 3527
2008,4,22,2,1730,1730,1830,1837,DL,240,247,225,-7,0,ATL,PHX,1587,4,11,0,,0,-99,-99,-99,-99,-99,N615DL - 713
2008,8,21,4,1328,1336,1456,1505,EV,88,89,63,-9,-8,ATL,DAY,432,4,21,0,,0,-99,-99,-99,-99,-99,N860AS - 4822
2008,4,28,1,1117,1117,1241,1234,YV,84,77,46,7,0,ATL,CLT,227,6,32,0,,0,-99,-99,-99,-99,-99,N903FJ - 2622
2008,4,15,2,805,810,922,929,FL,77,79,60,-7,-5,ATL,RDU,356,3,14,0,,0,-99,-99,-99,-99,-99,N924AT - 95
2008,3,9,7,2220,2215,2249,2235,AA,149,140,126,14,5,DFW,TUS,813,4,19,0,,0,-99,-99,-99,-99,-99,N401AA - 403
2008,12,27,6,1924,1730,2016,1830,AA,52,60,36,106,114,DFW,AUS,190,4,12,0,,0,13,9,0,0,84,N417AA - 479
2008,9,24,3,2039,2045,2131,2145,MQ,52,60,40,-14,-6,DFW,FSM,228,3,9,0,,0,-99,-99,-99,-99,-99,N687JS - 3653
2008,6,21,6,1758,1803,1851,1910,EV,53,67,38,-19,-5,ATL,TRI,227,4,11,0,,0,-99,-99,-99,-99,-99,N861AS - 4668
2008,4,12,6,939,935,1041,1050,FL,242,255,229,-9,4,ATL,PHX,1587,3,10,0,,0,-99,-99,-99,-99,-99,N307AT - 540
2008,12,15,1,NA,1302,NA,1338,EV,NA,96,NA,NA,NA,ATL,LIT,453,NA,NA,1,B,0,-99,-99,-99,-99,-99,N861AS - 5326
2008,4,22,2,1635,1640,1745,1743,DL,70,63,36,2,-5,ATL,SAV,215,7,27,0,,0,-99,-99,-99,-99,-99,N374DA - 1665
2008,4,7,1,1700,1700,1830,1820,CO,150,140,123,10,0,ATL,IAH,689,7,20,0,,0,-99,-99,-99,-99,-99,N14320 - 721
2008,6,19,4,926,930,1135,1140,MQ,69,70,50,-5,-4,ORD,DTW,235,5,14,0,,0,-99,-99,-99,-99,-99,N683AE - 4136
2008,3,20,4,1709,1709,1851,1859,OO,102,110,74,-8,0,XNA,ORD,522,8,20,0,,0,-99,-99,-99,-99,-99,N930SW - 5858
2008,7,6,7,1010,1011,1129,1138,UA,79,87,61,-9,-1,ORD,MCI,403,3,15,0,,0,-99,-99,-99,-99,-99,N342UA - 393
2008,2,9,6,1257,1256,1310,1302,FL,73,66,49,8,1,ATL,PNS,272,4,20,0,,0,-99,-99,-99,-99,-99,N924AT - 439
2008,2,20,3,1555,1555,1654,1651,EV,59,56,30,3,0,ATL,TYS,152,8,21,0,,0,-99,-99,-99,-99,-99,N934EV - 4653
2008,1,18,5,1751,1710,2058,1935,AA,187,145,104,83,41,DFW,ORD,802,10,73,0,,0,0,0,61,0,22,N4YKAA - 2364
2008,3,3,1,1557,1600,1614,1629,DL,77,89,54,-15,-3,ATL,MEM,332,6,17,0,,0,-99,-99,-99,-99,-99,N973DL - 673
2008,7,28,1,2134,2140,2220,2236,FL,106,116,86,-16,-6,ATL,MLI,633,6,14,0,,0,-99,-99,-99,-99,-99,N986AT - 695
2008,9,28,7,1310,1315,1616,1625,MQ,126,130,104,-9,-5,ORD,HPN,738,3,19,0,,0,-99,-99,-99,-99,-99,N840AE - 4424
2008,8,15,5,936,940,1131,1135,MQ,55,55,40,-4,-4,ORD,FNT,223,4,11,0,,0,-99,-99,-99,-99,-99,N614AE - 4027
2008,11,25,2,1915,1915,2251,2245,AA,156,150,130,6,0,DFW,DTW,987,11,15,0,,0,-99,-99,-99,-99,-99,N568AA - 2312
2008,10,25,6,1510,1515,1546,1555,MQ,36,40,21,-9,-5,DFW,TYR,103,2,13,0,,0,-99,-99,-99,-99,-99,N624MQ - 3525
2008,11,29,6,1104,1000,1231,1050,EV,147,110,95,101,64,ATL,AEX,500,4,48,0,,0,64,0,37,0,0,N935EV - 5287
2008,2,29,5,933,935,1040,1054,EV,67,79,53,-14,-2,ATL,CRW,363,2,12,0,,0,-99,-99,-99,-99,-99,N841AS - 4456
2008,4,26,6,1006,1015,1210,1230,EV,124,135,102,-20,-9,ATL,SYR,793,3,19,0,,0,-99,-99,-99,-99,-99,N856AS - 4228
2008,8,14,4,839,756,920,846,OO,41,50,29,34,43,ORD,MSN,109,3,9,0,,0,0,34,0,0,0,N417SW - 6028
2008,3,27,4,1058,1102,1207,1224,9E,129,142,102,-17,-4,ATL,IAH,689,8,19,0,,0,-99,-99,-99,-99,-99,91469E - 2003
2008,1,28,1,2153,2155,2210,2217,EV,77,82,56,-7,-2,ATL,EVV,350,3,18,0,,0,-99,-99,-99,-99,-99,N870AS - 4292
2008,6,1,7,855,858,956,959,EV,61,61,32,-3,-3,ATL,GSP,153,3,26,0,,0,-99,-99,-99,-99,-99,N839AS - 4873
2008,8,7,4,2040,2000,2340,2239,DL,180,159,117,61,40,ATL,BOS,946,16,47,0,,0,14,0,21,0,26,N662DN - 720
2008,6,8,7,1638,1320,2057,1635,AA,199,135,98,262,198,ORD,LGA,733,9,92,0,,0,0,0,97,0,165,N570AA - 368
2008,5,27,2,1605,1555,1719,1710,MQ,74,75,54,9,10,ORD,DSM,299,4,16,0,,0,-99,-99,-99,-99,-99,N677AE - 4331
2008,11,24,1,632,635,906,845,MQ,94,70,46,21,-3,ORD,CVG,264,7,41,0,,0,0,0,21,0,0,N711MQ - 4081
2008,2,29,5,NA,1756,NA,1849,OO,NA,53,NA,NA,NA,ORD,MKE,67,NA,NA,1,C,0,-99,-99,-99,-99,-99,N965SW - 5829
2008,8,22,5,647,648,850,840,OO,63,52,25,10,-1,ORD,GRR,137,5,33,0,,0,-99,-99,-99,-99,-99,N976SW - 5864
2008,5,25,7,1030,1015,1130,1120,MQ,60,65,44,10,15,DFW,XNA,281,3,13,0,,0,-99,-99,-99,-99,-99,N520DC - 3607
2008,4,22,2,1101,1100,1409,1403,DL,128,123,95,6,1,DFW,ATL,732,12,21,0,,0,-99,-99,-99,-99,-99,N939DL - 1614
2008,11,29,6,1613,1610,1726,1735,AA,193,205,168,-9,3,DFW,LAX,1235,9,16,0,,0,-99,-99,-99,-99,-99,N517AA - 2457
2008,10,16,4,2055,2100,2154,2205,MQ,59,65,41,-11,-5,DFW,XNA,281,5,13,0,,0,-99,-99,-99,-99,-99,N521MQ - 3559
2008,5,8,4,915,915,933,936,FL,78,81,63,-3,0,ATL,MEM,332,3,12,0,,0,-99,-99,-99,-99,-99,N960AT - 536
2008,8,1,5,1100,1050,1339,1335,AA,99,105,85,4,10,ORD,DCA,612,3,11,0,,0,-99,-99,-99,-99,-99,N4XAAA - 1448
2008,10,30,4,1429,1430,1640,1640,AS,251,250,226,0,-1,DFW,SEA,1660,7,18,0,,0,-99,-99,-99,-99,-99,N597AS - 661
2008,4,6,7,1840,1714,2129,2010,XE,169,176,148,79,86,MSP,IAH,1034,9,12,0,,0,0,0,0,0,79,N36915 - 2965
2008,2,15,5,1057,1055,1250,1250,MQ,113,115,85,0,2,DFW,VPS,626,11,17,0,,0,-99,-99,-99,-99,-99,N816AE - 3357
2008,10,26,7,948,948,1215,1220,UA,267,272,242,-5,0,ORD,SEA,1721,9,16,0,,0,-99,-99,-99,-99,-99,N567UA - 331
2008,11,13,4,1836,1835,2007,1954,9E,151,139,118,13,1,ATL,HOU,696,5,28,0,,0,-99,-99,-99,-99,-99,91709E - 5855
2008,10,6,1,941,950,1101,1120,AA,80,90,58,-19,-9,ORD,MCI,403,4,18,0,,0,-99,-99,-99,-99,-99,N549AA - 2495
2008,7,20,7,1501,1500,1708,1720,MQ,127,140,113,-12,1,ORD,DAL,798,3,11,0,,0,-99,-99,-99,-99,-99,N687JS - 4423
2008,9,25,4,947,950,1130,1136,DL,103,106,73,-6,-3,ATL,PIT,526,3,27,0,,0,-99,-99,-99,-99,-99,N905DL - 1648
2008,1,26,6,1002,945,1217,1155,UA,195,190,166,22,17,ORD,JAC,1162,4,25,0,,0,6,0,5,0,11,N537UA - 557
2008,9,14,7,2226,2230,2320,2330,DL,54,60,36,-10,-4,ATL,SAV,215,5,13,0,,0,-99,-99,-99,-99,-99,N981DL - 799
2008,12,26,5,1707,1600,1939,1835,AA,272,275,244,64,67,ORD,SEA,1721,7,21,0,,0,0,0,20,0,44,N592AA - 425
2008,7,2,3,1339,1340,1445,1450,MQ,66,70,48,-5,-1,DFW,AMA,313,5,13,0,,0,-99,-99,-99,-99,-99,N658AE - 3811
2008,5,13,2,1657,1700,1819,1827,FL,82,87,59,-8,-3,ATL,TPA,406,7,16,0,,0,-99,-99,-99,-99,-99,N326AT - 152
2008,10,29,3,948,951,1144,1132,DL,116,101,67,12,-3,ATL,RIC,481,4,45,0,,0,-99,-99,-99,-99,-99,N961DL - 1726
2008,7,1,2,1442,1445,1549,1553,NW,67,68,49,-4,-3,MSP,GFK,284,7,11,0,,0,-99,-99,-99,-99,-99,N916RW - 131
2008,7,2,3,1214,1216,1320,1329,EV,66,73,50,-9,-2,ATL,GSO,306,3,13,0,,0,-99,-99,-99,-99,-99,N683BR - 4410
2008,6,28,6,1751,1720,1910,1900,NW,199,220,180,10,31,MSP,SEA,1399,5,14,0,,0,-99,-99,-99,-99,-99,N589NW - 161
2008,9,20,6,1549,1550,1755,1815,AA,126,145,108,-20,-1,ORD,DFW,802,9,9,0,,0,-99,-99,-99,-99,-99,N586AA - 2337
2008,2,15,5,2011,1955,2216,2210,AA,125,135,102,6,16,DFW,ORD,802,8,15,0,,0,-99,-99,-99,-99,-99,N262AA - 2374
2008,5,21,3,843,843,1050,1055,DL,307,312,285,-5,0,ATL,PDX,2172,4,18,0,,0,-99,-99,-99,-99,-99,N610DL - 1745
2008,6,15,7,1128,1125,1347,1255,AA,139,90,118,52,3,DFW,MCI,460,6,15,0,,0,0,0,52,0,0,N524AA - 880
2008,12,15,1,1302,1309,1448,1427,OO,226,198,198,21,-7,DFW,LAX,1235,3,25,0,,0,0,0,21,0,0,N768SK - 6229
2008,3,11,2,1701,1700,1759,1819,NW,178,199,165,-20,1,MSP,PHX,1276,4,9,0,,0,-99,-99,-99,-99,-99,N319US - 125
2008,11,30,7,1348,1348,1643,1614,NW,115,86,63,29,0,ORD,DTW,235,10,42,0,,0,0,0,29,0,0,N760NC - 1246
2008,12,1,1,1209,1205,1351,1345,XE,102,100,81,6,4,XNA,IAH,438,12,9,0,,0,-99,-99,-99,-99,-99,N26549 - 2082
2008,1,6,7,1116,1120,1303,1300,DL,227,220,197,3,-4,ATL,ABQ,1269,8,22,0,,0,-99,-99,-99,-99,-99,N936DL - 1433
